ID,Date,Name,Age,Father's Name,Father's Occupation,Address,City,State,Pincode,School Name,Board,Course,Email ID,Ph No,Gender,Specialization,How did they know about the college,Talk Start Duration,Talk End Duration,Marketer Assigned,Inquiry Type,Called
1,01-01-2024,Aadi,24,Neha,Farmer,"H.No. 711, Dave Zila, Noida 274660",Anantapuram,Tamil Nadu,713743,Chinmaya Vidyalaya,ICSE,MBA,gaurangi00@example.org,+91 3396972575,Female,Marketing,Friends,13:23:52,13:44:52,Lakshmi,"No Interest, Brochure Request",No
2,01-01-2024,Anirudh,24,Aditya,Businessman,"346, Nagy Chowk, Panchkula-742774",Nanded,Tamil Nadu,892846,National Public School,State,MBA,faraj03@example.net,+91 4376451504,Male,Marketing,Website,13:46:28,13:53:28,Lakshmi,Scope of the course,No
3,01-01-2024,Jatin,19,Balendra,Farmer,"47, Taneja, Moradabad-213150",Burhanpur,Kerala,844745,Chinmaya Vidyalaya,CBSE,MBA,dominic34@example.com,+91 +919170862757,Female,Operations,Cricket Match,15:55:02,16:38:02,Lakshmi,"Availability of Hostel facility, Brochure Request",Yes
4,01-01-2024,Shaurya,24,Jagdish,Farmer,"67/60, Karnik Street, Ratlam 833436",Panchkula,Kerala,67009,St. Joseph's Matriculation,ICSE,BBA,pathakfalak@example.org,+91 00836680698,Male,Finance,Friends,12:03:42,12:21:42,Lakshmi,"Scope of the course, No.of candidates placed",Yes
5,01-01-2024,Ishanvi,24,Vanya,Farmer,"76/54, Garg Ganj, Secunderabad 308431",Alappuzha,Tamil Nadu,815678,National Public School,CBSE,MBA,hritiknazareth@example.org,+91 00179662150,Female,Marketing,Friends,10:02:30,11:00:30,Lakshmi,"Fee Structure Inquiry, Campus Location, No.of candidates placed",Yes
6,01-01-2024,Shravya,22,Darpan,Businessman,"25/80, Nagi Ganj, Adoni 468993",Hapur,Kerala,647277,Narayana Group,CBSE,BBA,gvarty@example.org,+91 +910738134841,Female,HR,Social media,12:35:46,13:32:46,Lakshmi,"Other Queries, Specialization available, Brochure Request",Yes
7,01-01-2024,Max,18,Nakul,Farmer,"60/22, Kumar Marg, Hapur 514754",South Dumdum,Telugu,908858,National Public School,State,MBA,dghose@example.org,+91 06634948396,Female,Operations,Cricket Match,12:20:19,12:46:19,Lakshmi,"Campus Location, Scope of the course",No
8,01-01-2024,Janya,17,Jasmit,Engineer,"H.No. 835, Dewan Ganj, Nandyal-655044",Howrah,Telugu,709140,Chinmaya Vidyalaya,State,BBA,bchar@example.org,+91 9901947516,Male,HR,LinkedIn,16:21:07,17:18:07,Lakshmi,"Brochure Request, Scope of the course, Fee Structure Inquiry",No
9,01-01-2024,Lajita,18,Ekanta,Farmer,"490, Mander Zila, Mira-Bhayandar 971569",Hajipur,Kerala,371848,Narayana Group,State,BBA,cmorar@example.net,+91 9603653706,Female,Finance,Website,13:14:47,14:14:47,Lakshmi,"No.of candidates placed, No Interest",No
10,01-01-2024,Avni,19,Aryan,Teacher,"47/541, Setty Ganj, Siliguri-348868",North Dumdum,Telugu,732186,Narayana Group,CBSE,BBA,hbora@example.org,+91 5325379782,Female,Operations,Social media,17:12:14,17:21:14,Lakshmi,"No Interest, Brochure Request",Yes
11,01-01-2024,Nandini,25,Jyoti,Teacher,"82, Karnik Street, Hazaribagh 174681",Erode,Telugu,209854,Vidhya Mandir,ICSE,BBA,arjunsubramanian@example.net,+91 +910255568861,Female,HR,Website,13:17:38,13:38:38,Lakshmi,"No.of candidates placed, Brochure Request",No
12,01-01-2024,Yashica,18,Jairaj,Engineer,"H.No. 463, Buch Nagar, Bally-256509",Rourkela,Telugu,964089,Don Bosco School,State,MBA,bedihritik@example.org,+91 +919254255062,Male,Marketing,Social media,12:09:33,13:05:33,Lakshmi,"No.of candidates placed, Campus Location, Placement opportunities",No
13,01-01-2024,Prisha,25,Bhanumati,Businessman,"H.No. 64, Pall Ganj, Navi Mumbai-906593",Aligarh,Kerala,179325,Vidhya Mandir,ICSE,MBA,xmahajan@example.org,+91 3098193075,Male,Finance,Social media,12:23:17,12:45:17,Lakshmi,"Availability of Hostel facility, Brochure Request",Yes
14,01-01-2024,Jagvi,23,Rachana,Engineer,"45/771, Oommen Path, Nandyal 639085",Saharsa,Tamil Nadu,364207,Don Bosco School,State,BBA,chackoaayush@example.com,+91 06246978345,Female,Marketing,Website,10:02:37,10:59:37,Lakshmi,"Availability of Hostel facility, Fee Structure Inquiry, Campus Location",Yes
15,01-01-2024,Ojas,18,Tristan,Engineer,"H.No. 49, Sankar Circle, Delhi 974993",Machilipatnam,Telugu,817631,St. Joseph's Matriculation,ICSE,MBA,hsuresh@example.net,+91 06711553883,Female,HR,Social media,13:04:36,13:43:36,Lakshmi,Brochure Request,No
16,01-01-2024,Gaurav,20,Nitesh,Farmer,"911, Sarma Ganj, Secunderabad 753914",Sagar,Kerala,210296,Narayana Group,CBSE,MBA,chandransahota@example.net,+91 1262822926,Female,Operations,LinkedIn,09:32:34,09:37:34,Lakshmi,Availability of Hostel facility,Yes
17,01-01-2024,Inaya,20,Jackson,Teacher,"555, Contractor Path, Ratlam 090817",Mumbai,Tamil Nadu,718513,National Public School,CBSE,MBA,omkaardivan@example.com,+91 5780906559,Male,Marketing,Social media,13:38:32,14:14:32,Lakshmi,"Placement opportunities, No Interest",Yes
18,01-01-2024,Naveen,18,Isaac,Farmer,"64, Mammen Street, Bokaro 586438",Mysore,Tamil Nadu,255556,Narayana Group,ICSE,MBA,kakarpavani@example.net,+91 08746825406,Male,Finance,Cricket Match,17:40:57,18:30:57,Lakshmi,"Other Queries, Brochure Request, Availability of Hostel facility",Yes
19,01-01-2024,Gauri,20,Anthony,Doctor,"25/033, Sama Chowk, Jammu-925324",Eluru,Tamil Nadu,233622,Vidhya Mandir,State,MBA,lahuja@example.com,+91 4916921591,Female,Marketing,Social media,17:16:34,17:51:34,Lakshmi,"Other Queries, Placement opportunities, No.of candidates placed",Yes
20,01-01-2024,Sai,24,Aishani,Doctor,"79/64, Ganguly Zila, Rohtak-595507",Thoothukudi,Telugu,524750,Vidhya Mandir,CBSE,MBA,zachariahadweta@example.org,+91 06000143091,Female,Finance,Cricket Match,13:02:40,13:52:40,Lakshmi,Specialization available,Yes
21,01-01-2024,Ekantika,19,Brinda,Businessman,"927, Datta Path, Jamshedpur-445169",Pune,Tamil Nadu,992470,St. Joseph's Matriculation,CBSE,BBA,radha72@example.org,+91 1025100757,Male,Operations,Website,15:35:14,16:02:14,Lakshmi,"No.of candidates placed, Fee Structure Inquiry",Yes
22,01-01-2024,Keya,25,Unnati,Businessman,"H.No. 74, Solanki Zila, Bhopal-903694",Tiruppur,Tamil Nadu,199979,Chinmaya Vidyalaya,State,BBA,krishaluthra@example.org,+91 2209696245,Male,Marketing,Friends,17:55:46,18:19:46,Lakshmi,Brochure Request,Yes
23,01-01-2024,Patrick,20,Gautami,Doctor,"12/95, Randhawa Street, Miryalaguda 319523",Pimpri-Chinchwad,Tamil Nadu,839311,National Public School,ICSE,MBA,cjohal@example.com,+91 00188794989,Male,HR,LinkedIn,09:16:05,09:33:05,Lakshmi,"Campus Location, Availability of Hostel facility",Yes
24,01-01-2024,Indrajit,21,Garima,Farmer,"H.No. 96, Baral Ganj, Coimbatore 916844",Kharagpur,Kerala,232197,Narayana Group,State,MBA,sahnieta@example.net,+91 5619391205,Female,Operations,Social media,17:15:16,17:32:16,Lakshmi,"Placement opportunities, Brochure Request",No
25,01-01-2024,Gaurika,21,Januja,Doctor,"61/456, Dara Road, Hubli–Dharwad-718945",Uluberia,Tamil Nadu,816373,Vidhya Mandir,State,MBA,nachiket81@example.net,+91 +918447405042,Male,Operations,Social media,16:38:57,17:00:57,Lakshmi,"Availability of Hostel facility, Scope of the course",Yes
26,01-01-2024,Fariq,21,Siya,Teacher,"H.No. 780, Pillay Street, Serampore 943778",Hubli–Dharwad,Kerala,905051,Chinmaya Vidyalaya,State,MBA,rmander@example.org,+91 +910216193866,Male,HR,Cricket Match,12:32:52,12:43:52,Jenifer,"Specialization available, Campus Location",No
27,01-01-2024,Bhavini,21,Vrishti,Businessman,"671, Kant Ganj, Muzaffarnagar-116325",Bongaigaon,Tamil Nadu,870757,Chinmaya Vidyalaya,CBSE,BBA,ladharrison@example.net,+91 6714719992,Male,Marketing,Website,11:08:49,11:28:49,Jenifer,Specialization available,No
28,01-01-2024,Upadhriti,22,Riya,Doctor,"548, Bhattacharyya Nagar, Bhubaneswar-159901",Srinagar,Tamil Nadu,316326,National Public School,ICSE,BBA,bhanumati62@example.org,+91 +917558956182,Female,HR,LinkedIn,12:47:29,13:24:29,Jenifer,Brochure Request,No
29,01-01-2024,Wishi,24,Qushi,Teacher,"H.No. 160, Sodhi Ganj, Darbhanga-034872",Nanded,Telugu,987986,Chinmaya Vidyalaya,State,BBA,menonoeshi@example.com,+91 6102921512,Male,HR,LinkedIn,11:03:14,11:08:14,Jenifer,Scope of the course,No
30,01-01-2024,Prisha,19,Upkaar,Farmer,"77, Dyal Marg, Gandhidham 197845",Bijapur,Kerala,758915,St. Joseph's Matriculation,ICSE,BBA,charvichaudhary@example.org,+91 9091692036,Male,HR,Friends,09:55:57,10:51:57,Jenifer,"Fee Structure Inquiry, Placement opportunities",No
31,01-01-2024,Jyoti,25,Dhriti,Businessman,"64/19, Gandhi Zila, Muzaffarpur-793432",Hapur,Kerala,844599,Don Bosco School,CBSE,BBA,natarajaneshana@example.net,+91 +917663244626,Female,Marketing,Website,09:44:15,09:57:15,Jenifer,"Campus Location, No Interest, Other Queries",No
32,01-01-2024,Victor,19,Fariq,Doctor,"88, Narang Ganj, Mirzapur 162977",Buxar,Kerala,778446,National Public School,ICSE,BBA,falan73@example.org,+91 02192365681,Female,Operations,Cricket Match,13:09:58,13:38:58,Jenifer,"Scope of the course, Placement opportunities",No
33,01-01-2024,Isaac,18,Hemani,Engineer,"554, Bora, Latur 506347",Bhalswa Jahangir Pur,Telugu,322135,Don Bosco School,ICSE,BBA,ladgirik@example.net,+91 +912128485620,Female,Operations,Social media,14:30:08,15:21:08,Jenifer,"Specialization available, Other Queries",No
34,01-01-2024,Hredhaan,18,Eta,Doctor,"43, Viswanathan, Rohtak-005215",Bhubaneswar,Kerala,89859,Chinmaya Vidyalaya,CBSE,MBA,mangalonkar@example.org,+91 07314551921,Male,Finance,Cricket Match,17:30:56,18:19:56,Jenifer,"Scope of the course, Brochure Request",Yes
35,01-01-2024,Ganga,25,Yashoda,Engineer,"84, Mallick Chowk, Jorhat 009629",Kochi,Telugu,856042,St. Joseph's Matriculation,ICSE,MBA,krishnarout@example.org,+91 08337549489,Male,Finance,LinkedIn,13:44:37,14:36:37,Jenifer,"Fee Structure Inquiry, Campus Location, Specialization available",Yes
36,01-01-2024,Caleb,19,Gayathri,Businessman,"H.No. 601, Sane Nagar, Nanded 113432",Ramgarh,Tamil Nadu,655966,Don Bosco School,ICSE,BBA,yashawinimadan@example.org,+91 09804863254,Male,Finance,Website,15:28:53,16:01:53,Jenifer,"Availability of Hostel facility, No Interest",No
37,01-01-2024,Kavya,20,Sanya,Engineer,"H.No. 27, Chaudhuri Circle, Kochi-595284",Naihati,Tamil Nadu,233306,Chinmaya Vidyalaya,State,MBA,ggandhi@example.com,+91 05769331979,Female,Finance,LinkedIn,16:22:20,16:47:20,Jenifer,Availability of Hostel facility,No
38,01-01-2024,Samaksh,25,Manbir,Doctor,"669, Sani Zila, Rajpur Sonarpur-345832",Munger,Telugu,297225,National Public School,CBSE,BBA,wpatla@example.org,+91 6455685543,Male,Operations,Cricket Match,10:48:02,11:42:02,Jenifer,"Campus Location, Placement opportunities, Fee Structure Inquiry",Yes
39,01-01-2024,Andrew,21,Daksh,Farmer,"62/703, Savant Circle, Rajpur Sonarpur 921884",Bhilai,Telugu,832316,National Public School,CBSE,BBA,khatriarya@example.com,+91 7771649378,Male,Marketing,Website,17:58:33,18:22:33,Jenifer,Other Queries,Yes
40,01-01-2024,Arin,25,Thomas,Businessman,"71/623, Tripathi Nagar, Mango-225005",Dewas,Tamil Nadu,636363,Narayana Group,State,MBA,eshanadugar@example.net,+91 +918367224424,Female,HR,Social media,15:08:49,15:57:49,Jenifer,"Campus Location, Placement opportunities",No
41,01-01-2024,Aachal,21,Hritik,Businessman,"36/476, Varty Ganj, Bally 201390",Mango,Kerala,456072,Vidhya Mandir,State,MBA,ymisra@example.net,+91 +913902187040,Female,HR,Social media,12:45:01,13:22:01,Jenifer,"Fee Structure Inquiry, Brochure Request",Yes
42,01-01-2024,Shivansh,23,Chakradhar,Doctor,"H.No. 708, Nori Street, Guntakal 392631",Chennai,Kerala,391197,National Public School,CBSE,MBA,thomasupadhyay@example.org,+91 05662996664,Female,HR,LinkedIn,15:10:34,15:58:34,Jenifer,"Fee Structure Inquiry, No.of candidates placed, Brochure Request",Yes
43,01-01-2024,Ati,23,Isaiah,Businessman,"05, Banik Ganj, Hubli–Dharwad-333685",Akola,Tamil Nadu,180409,Don Bosco School,CBSE,MBA,ghayer@example.net,+91 3640137787,Female,HR,Website,14:42:05,15:22:05,Jenifer,"Other Queries, Campus Location, Fee Structure Inquiry",No
44,01-01-2024,Oliver,17,Nihal,Businessman,"70/31, Narain Circle, Katihar-578965",Begusarai,Tamil Nadu,477901,National Public School,ICSE,MBA,tarakdas@example.org,+91 00071200207,Male,Finance,Cricket Match,14:02:41,14:14:41,Jenifer,"Fee Structure Inquiry, No Interest, Availability of Hostel facility",No
45,01-01-2024,Yagnesh,25,Upkaar,Businessman,"H.No. 394, Chand Path, Mehsana 173048",Sonipat,Telugu,688773,Narayana Group,CBSE,MBA,bajwatriveni@example.org,+91 2488715799,Male,Finance,Cricket Match,14:56:19,15:52:19,Jenifer,Placement opportunities,No
46,01-01-2024,Ubika,17,Banjeet,Doctor,"645, Gill Chowk, Bahraich 304959",Faridabad,Kerala,204074,Chinmaya Vidyalaya,ICSE,MBA,gardeyamini@example.net,+91 9482496070,Female,Marketing,Cricket Match,13:59:38,14:57:38,Jenifer,"Availability of Hostel facility, Other Queries, Scope of the course",Yes
47,01-01-2024,Chakrika,20,Netra,Engineer,"96/720, Patil Ganj, Nagpur-490169",Hazaribagh,Kerala,119134,National Public School,State,MBA,dhillonikshita@example.com,+91 01340497824,Male,Operations,Cricket Match,14:44:26,15:21:26,Jenifer,"Campus Location, Brochure Request",Yes
48,01-01-2024,Upadhriti,25,Zarna,Farmer,"033, Sahota Street, Bilaspur 818247",Gangtok,Telugu,785540,St. Joseph's Matriculation,ICSE,MBA,manyabansal@example.com,+91 +910738312308,Female,Finance,LinkedIn,10:35:56,11:11:56,Jenifer,No.of candidates placed,Yes
49,01-01-2024,Upma,17,Ekaja,Teacher,"559, Misra Street, Khammam-130236",Pali,Kerala,28195,National Public School,ICSE,MBA,sastryabhiram@example.net,+91 2096304009,Female,Finance,Cricket Match,09:55:02,10:10:02,Jenifer,"Fee Structure Inquiry, Brochure Request",No
50,01-01-2024,Rajata,25,Advik,Farmer,"84/79, Talwar Street, Jaunpur 642168",Morbi,Telugu,281329,National Public School,ICSE,MBA,udarsh92@example.org,+91 06482594717,Male,HR,Friends,13:43:52,14:43:52,Jenifer,"Specialization available, Brochure Request, Campus Location",Yes
51,01-01-2024,Vinaya,17,Ira,Businessman,"H.No. 03, Deshmukh Nagar, Kota-219871",Bongaigaon,Telugu,642322,Chinmaya Vidyalaya,ICSE,MBA,jasmitsaran@example.net,+91 03495022078,Female,Operations,Cricket Match,17:05:54,18:02:54,Raj,Brochure Request,No
52,01-01-2024,Warjas,21,Daksha,Farmer,"69, Natt Zila, Tiruppur 018114",Dibrugarh,Telugu,557348,Chinmaya Vidyalaya,ICSE,BBA,kamya79@example.net,+91 +916387878706,Male,Marketing,Website,15:08:31,15:22:31,Raj,"Fee Structure Inquiry, Placement opportunities, Brochure Request",No
53,01-01-2024,Tanvi,17,Radha,Teacher,"27/23, Sibal Chowk, Junagadh 303701",Dindigul,Kerala,567956,Don Bosco School,CBSE,BBA,meghana91@example.org,+91 +919261275856,Female,Operations,Friends,15:24:11,15:45:11,Raj,Campus Location,Yes
54,01-01-2024,Falan,22,Nakul,Farmer,"12, Toor Ganj, Mangalore-534117",Gwalior,Kerala,699198,Don Bosco School,ICSE,MBA,mmurty@example.com,+91 9463297133,Male,Finance,Social media,13:03:13,13:23:13,Raj,"No.of candidates placed, Brochure Request",No
55,01-01-2024,Damini,24,Urmi,Engineer,"198, Din Circle, Muzaffarpur-035087",Sagar,Tamil Nadu,793198,St. Joseph's Matriculation,CBSE,MBA,brijesh62@example.com,+91 08733050483,Female,HR,Website,14:55:28,15:23:28,Raj,No.of candidates placed,No
56,01-01-2024,Vinaya,18,Jairaj,Doctor,"522, Rattan Marg, Hospet 574599",Patna,Kerala,623718,Don Bosco School,State,BBA,wyatt54@example.net,+91 02661391389,Female,Marketing,LinkedIn,13:53:49,14:29:49,Raj,Campus Location,Yes
